Start_Time,End_Time,Max_Index,Min_Index,Magnitude,Direction
2018-10-21 06:40:00,2018-10-21 08:40:00,2018-10-21 06:40:00,2018-10-21 07:30:00,591.2640991,Down
2018-10-21 06:50:00,2018-10-21 08:50:00,2018-10-21 07:40:00,2018-10-21 08:50:00,462.1940155,Down
2018-10-21 07:00:00,2018-10-21 09:00:00,2018-10-21 07:40:00,2018-10-21 08:50:00,462.1940155,Down
2018-10-21 07:10:00,2018-10-21 09:10:00,2018-10-21 07:40:00,2018-10-21 08:50:00,462.1940155,Down
2018-10-21 07:20:00,2018-10-21 09:20:00,2018-10-21 07:40:00,2018-10-21 08:50:00,462.1940155,Down
2018-10-21 07:30:00,2018-10-21 09:30:00,2018-10-21 07:40:00,2018-10-21 09:30:00,555.96241,Down
2018-10-21 07:40:00,2018-10-21 09:40:00,2018-10-21 07:40:00,2018-10-21 09:30:00,555.96241,Down
2018-10-21 07:50:00,2018-10-21 09:50:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Up
2018-10-21 08:00:00,2018-10-21 10:00:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 08:10:00,2018-10-21 10:10:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 08:20:00,2018-10-21 10:20:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 08:30:00,2018-10-21 10:30:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 08:40:00,2018-10-21 10:40:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 08:50:00,2018-10-21 10:50:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 09:00:00,2018-10-21 11:00:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 09:10:00,2018-10-21 11:10:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 09:20:00,2018-10-21 11:20:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 09:30:00,2018-10-21 11:30:00,2018-10-21 09:50:00,2018-10-21 09:30:00,634.6378861,Down
2018-10-21 09:40:00,2018-10-21 11:40:00,2018-10-21 09:50:00,2018-10-21 11:00:00,575.9367828999999,Down
2018-10-21 09:50:00,2018-10-21 11:50:00,2018-10-21 09:50:00,2018-10-21 11:00:00,575.9367828999999,Down
